0.0050, 7888, 5672, 3824, 2853, 2080, 1000, 232
0.0075, 7740, 4921, 2610, 1744, 1272, 688, 187
0.0100, 8380, 5478, 2286, 1114, 732, 456, 150
0.0125, 9601, 7056, 2667, 870, 415, 292, 120
0.0150, 11194, 9364, 3567, 924, 274, 185, 97
0.0175, 12953, 12115, 4802, 1183, 263, 122, 79
0.0200, 14668, 15019, 6185, 1556, 336, 96, 67
0.0225, 16133, 17786, 7532, 1954, 446, 94, 60
0.0250, 17139, 20129, 8658, 2284, 548, 110, 57
0.0275, 17544, 21835, 9414, 2476, 605, 132, 58
0.0300, 17466, 23002, 9806, 2532, 617, 159, 62
0.0325, 17088, 23805, 9876, 2476, 591, 188, 69
0.0350, 16594, 24419, 9667, 2330, 537, 217, 78
0.0375, 16161, 25148, 9350, 2156, 473, 243, 88
0.0400, 15948, 26808, 9609, 2169, 454, 267, 99
0.0425, 16108, 30344, 11255, 2623, 545, 289, 111
0.0450, 16794, 36700, 15101, 3773, 811, 308, 122
0.0475, 18026, 46189, 21457, 5712, 1276, 326, 133
0.0500, 19294, 56590, 28618, 7893, 1803, 342, 142
0.0525, 19956, 65052, 34376, 9606, 2217, 356, 149
0.0550, 19369, 68722, 36526, 10143, 2342, 368, 154
0.0575, 17158, 65880, 33779, 9089, 2071, 380, 156
0.0600, 14014, 59330, 28526, 7204, 1586, 393, 156
0.0625, 10896, 53011, 24079, 5539, 1140, 410, 155
0.0650, 8761, 50861, 23747, 5148, 983, 434, 153
0.0675, 8281, 55573, 29783, 6756, 1293, 465, 151
0.0700, 8983, 64864, 40202, 9773, 1938, 501, 151
0.0725, 10106, 75207, 51961, 13284, 2710, 540, 152
0.0750, 10891, 83076, 62016, 16372, 3404, 578, 157
0.0775, 10762, 85805, 68031, 18313, 3853, 613, 164
0.0800, 9883, 84171, 70497, 19157, 4054, 644, 174
0.0825, 8600, 79815, 70611, 19141, 4046, 673, 184
0.0850, 7262, 74374, 69570, 18508, 3868, 700, 195
0.0875, 6160, 69275, 68570, 17571, 3583, 727, 204
0.0900, 5355, 65085, 68804, 16940, 3352, 758, 211
0.0925, 4852, 62158, 71463, 17295, 3362, 800, 218
0.0950, 4656, 60846, 77740, 19320, 3799, 856, 225
0.0975, 4743, 61242, 88189, 23394, 4771, 934, 233
0.1000, 4971, 62386, 100829, 28677, 6069, 1033, 241
0.1025, 5172, 63059, 113041, 34029, 7405, 1157, 251
0.1050, 5175, 62040, 122205, 38307, 8492, 1307, 264
0.1075, 4869, 58525, 126504, 40730, 9135, 1485, 279
0.1100, 4367, 53374, 127315, 41957, 9496, 1690, 298
0.1125, 3842, 47865, 126819, 43010, 9834, 1922, 320
0.1150, 3466, 43275, 127192, 44907, 10403, 2182, 347
0.1175, 3360, 40549, 130084, 48446, 11406, 2468, 380
0.1200, 3451, 39303, 135033, 53521, 12835, 2772, 418
0.1225, 3617, 38822, 141044, 59803, 14629, 3085, 464
0.1250, 3733, 38393, 147125, 66964, 16728, 3398, 516
0.1275, 3705, 37427, 152318, 74589, 19033, 3702, 576
0.1300, 3549, 35851, 155797, 81921, 21302, 3996, 645
0.1325, 3308, 33719, 156771, 88120, 23258, 4279, 723
0.1350, 3027, 31088, 154447, 92343, 24622, 4550, 811
0.1375, 2744, 28043, 148400, 94087, 25222, 4811, 906
0.1400, 2472, 24807, 139658, 94196, 25317, 5070, 997
0.1425, 2219, 21633, 129618, 93853, 25268, 5339, 1067
0.1450, 1993, 18777, 119673, 94240, 25441, 5627, 1100
0.1475, 1802, 16441, 110965, 96301, 26147, 5946, 1091
0.1500, 1648, 14623, 103625, 100021, 27499, 6306, 1066
0.1525, 1534, 13272, 97529, 105149, 29556, 6718, 1062
0.1550, 1464, 12335, 92555, 111430, 32379, 7193, 1115
0.1575, 1436, 11742, 88512, 118501, 35945, 7737, 1248
0.1600, 1432, 11350, 84939, 125559, 39899, 8336, 1430
0.1625, 1431, 11002, 81307, 131690, 43802, 8970, 1618
0.1650, 1410, 10537, 77087, 135978, 47215, 9621, 1766
0.1675, 1353, 9842, 71917, 137775, 49835, 10277, 1848
0.1700, 1269, 8978, 66091, 137494, 51902, 10952, 1899
0.1725, 1171, 8052, 60070, 135815, 53791, 11669, 1974
0.1750, 1075, 7169, 54315, 133416, 55876, 12448, 2125
0.1775, 991, 6413, 49199, 130860, 58447, 13313, 2385
0.1800, 921, 5786, 44741, 128243, 61455, 14292, 2709
0.1825, 864, 5264, 40871, 125545, 64766, 15417, 3030
0.1850, 818, 4827, 37521, 122745, 68245, 16719, 3284
0.1875, 782, 4455, 34629, 119831, 71818, 18218, 3431
0.1900, 753, 4145, 32166, 116821, 75659, 19896, 3536
0.1925, 731, 3897, 30107, 113741, 79998, 21724, 3689
0.1950, 712, 3712, 28432, 110617, 85070, 23674, 3983
0.1975, 696, 3582, 27086, 107410, 90926, 25708, 4475
0.2000, 681, 3474, 25886, 103816, 96895, 27753, 5092
0.2025, 665, 3345, 24619, 99468, 102126, 29728, 5728
0.2050, 646, 3154, 23068, 93996, 105766, 31550, 6277
0.2075, 623, 2877, 21099, 87210, 107231, 33150, 6660
0.2100, 596, 2552, 18884, 79627, 106991, 34522, 6907
0.2125, 567, 2235, 16675, 71945, 105787, 35671, 7074
0.2150, 535, 1980, 14725, 64860, 104355, 36603, 7220
0.2175, 503, 1826, 13215, 58892, 103252, 37343, 7388
0.2200, 471, 1743, 12056, 53862, 102310, 37986, 7577
0.2225, 440, 1682, 11089, 49412, 101180, 38647, 7775
