0.0025, 5275, 481, 23, 3, 15, 4
0.0050, 6083, 621, 27, 0, 9, 2
0.0075, 7025, 778, 33, 2, 4, 1
0.0100, 8105, 960, 42, 3, 0, 0
0.0125, 9326, 1177, 55, 4, 4, 0
0.0150, 10691, 1440, 72, 4, 6, 1
0.0175, 12205, 1757, 93, 4, 8, 2
0.0200, 13869, 2138, 119, 4, 10, 2
0.0225, 15688, 2594, 152, 4, 10, 2
0.0250, 17664, 3133, 190, 4, 10, 2
0.0275, 19802, 3765, 235, 5, 10, 3
0.0300, 22102, 4502, 289, 6, 9, 3
0.0325, 24558, 5358, 353, 8, 8, 3
0.0350, 27162, 6351, 432, 10, 7, 2
0.0375, 29905, 7496, 529, 14, 5, 2
0.0400, 32778, 8812, 649, 19, 3, 2
0.0425, 35772, 10313, 794, 25, 1, 2
0.0450, 38878, 12017, 968, 33, 0, 1
0.0475, 42073, 13940, 1175, 42, 2, 1
0.0500, 45333, 16099, 1419, 53, 4, 1
0.0525, 48635, 18511, 1703, 67, 6, 0
0.0550, 51954, 21191, 2031, 82, 7, 0
0.0575, 55259, 24147, 2414, 101, 8, 1
0.0600, 58519, 27388, 2861, 124, 9, 1
0.0625, 61702, 30920, 3382, 153, 10, 2
0.0650, 64777, 34751, 3987, 189, 9, 2
0.0675, 67711, 38889, 4687, 232, 9, 2
0.0700, 70475, 43337, 5492, 284, 8, 3
0.0725, 73035, 48086, 6411, 346, 6, 3
0.0750, 75360, 53121, 7455, 419, 3, 3
0.0775, 77420, 58430, 8633, 505, 0, 4
0.0800, 79185, 63994, 9957, 605, 4, 4
0.0825, 80640, 69774, 11436, 722, 9, 4
0.0850, 81772, 75730, 13081, 860, 15, 4
0.0875, 82570, 81818, 14900, 1024, 22, 4
0.0900, 83021, 87995, 16906, 1218, 30, 3
0.0925, 83113, 94220, 19107, 1445, 39, 3
0.0950, 82836, 100446, 21513, 1710, 50, 3
0.0975, 82199, 106614, 24136, 2017, 61, 2
0.1000, 81210, 112662, 26985, 2369, 75, 2
0.1025, 79881, 118528, 30069, 2772, 89, 1
0.1050, 78224, 124148, 33397, 3228, 105, 0
0.1075, 76268, 129466, 36958, 3746, 124, 1
0.1100, 74040, 134422, 40741, 4333, 147, 2
0.1125, 71573, 138960, 44733, 4997, 175, 3
0.1150, 68896, 143021, 48921, 5745, 210, 3
0.1175, 66038, 146548, 53294, 6584, 253, 3
0.1200, 63031, 149488, 57838, 7523, 305, 3
0.1225, 59903, 151808, 62532, 8569, 368, 2
0.1250, 56686, 153480, 67354, 9729, 443, 1
0.1275, 53409, 154476, 72284, 11011, 531, 1
0.1300, 50102, 154776, 77296, 12422, 635, 4
0.1325, 46791, 154390, 82351, 13967, 756, 8
0.1350, 43501, 153336, 87408, 15648, 899, 13
0.1375, 40259, 151633, 92425, 17469, 1067, 19
0.1400, 37090, 149298, 97359, 19434, 1265, 26
0.1425, 34019, 146350, 102168, 21547, 1495, 34
0.1450, 31070, 142814, 106811, 23811, 1762, 44
0.1475, 28257, 138742, 111245, 26229, 2069, 55
0.1500, 25591, 134194, 115428, 28806, 2419, 68
0.1525, 23083, 129231, 119319, 31544, 2816, 82
0.1550, 20742, 123911, 122877, 34445, 3265, 98
0.1575, 18565, 118292, 126072, 37495, 3771, 117
0.1600, 16548, 112432, 128874, 40677, 4341, 140
0.1625, 14686, 106386, 131254, 43976, 4982, 168
0.1650, 12973, 100213, 133185, 47375, 5699, 201
0.1675, 11404, 93970, 134635, 50858, 6501, 241
0.1700, 9975, 87712, 135583, 54409, 7393, 289
0.1725, 8681, 81498, 136021, 58011, 8381, 346
0.1750, 7516, 75385, 135948, 61648, 9473, 413
0.1775, 6475, 69429, 135363, 65303, 10675, 491
0.1800, 5554, 63681, 134269, 68959, 11992, 580
0.1825, 4743, 58163, 132685, 72590, 13428, 685
0.1850, 4035, 52890, 130637, 76167, 14985, 806
0.1875, 3419, 47878, 128147, 79662, 16664, 947
0.1900, 2888, 43143, 125241, 83049, 18467, 1111
0.1925, 2433, 38699, 121941, 86298, 20397, 1300
0.1950, 2045, 34560, 118276, 89382, 22455, 1517
0.1975, 1715, 30727, 114288, 92274, 24644, 1764
0.2000, 1435, 27196, 110022, 94944, 26965, 2045
0.2025, 1195, 23967, 105523, 97366, 29421, 2361
0.2050, 989, 21035, 100835, 99514, 32010, 2716
0.2075, 812, 18385, 95998, 101374, 34720, 3113
0.2100, 661, 16000, 91050, 102933, 37536, 3556
0.2125, 535, 13864, 86028, 104181, 40443, 4050
0.2150, 431, 11960, 80972, 105106, 43425, 4599
0.2175, 345, 10271, 75919, 105696, 46466, 5205
0.2200, 276, 8780, 70907, 105942, 49553, 5874
0.2225, 220, 7470, 65973, 105840, 52669, 6610
0.2250, 176, 6324, 61154, 105389, 55799, 7415
0.2275, 140, 5326, 56487, 104590, 58928, 8295
0.2300, 110, 4459, 52002, 103444, 62039, 9253
0.2325, 85, 3713, 47709, 101969, 65110, 10288
0.2350, 65, 3075, 43613, 100188, 68120, 11401
0.2375, 50, 2536, 39718, 98123, 71044, 12590
0.2400, 38, 2085, 36027, 95794, 73861, 13855
0.2425, 29, 1712, 32546, 93225, 76546, 15196
0.2450, 22, 1405, 29278, 90436, 79078, 16612
0.2475, 18, 1154, 26228, 87450, 81433, 18103
0.2500, 15, 948, 23399, 84288, 83588, 19668
0.2525, 12, 777, 20796, 80972, 85521, 21307
0.2550, 10, 632, 18420, 77525, 87211, 23017
0.2575, 8, 508, 16262, 73975, 88646, 24788
