0,37266531720786777e-22,15229979744712682e-24
75e-5,3868947216544442e-21,15930535066215493e-24
.0015,4016448514152164e-21,16662377555095288e-24
.0022500000000000003,416933867857548e-20,1742686031039674e-23
.003,43278053154450085e-22,18225392917952603e-24
.00375,4492042207425938e-21,19059443717628056e-24
.0045000000000000005,4662249504565372e-21,19930542157617715e-24
.00525,4838633920043854e-21,20840281238974064e-24
.006,5021408931469331e-21,2179032005365009e-23
.006749999999999999,52107949878537515e-22,2278238641945701e-23
.0075,5407019722416728e-21,2381827961544859e-23
.00825,561031817136266e-20,2489987322136897e-23
.009000000000000001,5820932998781911e-21,26029118064917716e-24
.00975,6039114727828749e-21,2720804528072107e-23
.0105,6265121978333204e-21,2843876948502456e-23
.01125,6499221711006064e-21,2972349207025981e-23
.012,6741689478400719e-21,3106450462377631e-23
.012750000000000001,6992809682797953e-21,3246419247517774e-23
.013499999999999998,7252875841184222e-21,33925038376846116e-24
.014249999999999999,7522190857496434e-21,3544962632239488e-23
.015,7801067302310867e-21,37040645507943606e-24
.01575,8089827700156283e-21,38700894441279406e-24
.0165,838880482463637e-20,4043328520413064e-23
.01725,8698342001548733e-21,4224084787295428e-23
.018000000000000002,9018793420193086e-21,44126735103815e-21
.018750000000000003,935052445306347e-20,46094226887124156e-24
.0195,969391198412492e-20,48146735478185415e-24
.02025,1004934474587689e-20,50287810509701936e-24
.021,10417223665411952e-21,52521144292586426e-24
.021750000000000002,10797962219680102e-21,54850577311639264e-24
.0225,11191986800175248e-21,5728010392285597e-23
.02325,11599737087262193e-21,5981387825936152e-23
.024,12021666434369023e-21,6245622035317768e-23
.02475,12458242262272006e-21,6521162248028264e-23
.025500000000000002,12909946463705948e-21,680847557366413e-22
.026250000000000002,13377275818535592e-21,710804768531498e-22
.026999999999999996,13860742419730307e-21,7420383525767791e-23
.027749999999999997,14360874110385687e-21,7746008039266283e-23
.028499999999999998,14878214932043545e-21,8085466929697545e-23
.029249999999999998,15413325584563456e-21,8439327446105766e-23
.03,15966783897804805e-21,8808179196460619e-23
.03075,165391853153833e-19,9192634990638957e-23
.0315,17131143390769604e-21,9593331713607115e-23
.03225,177432902960029e-19,10010931229822096e-23
.033,1837627734329668e-20,10446121319903598e-23
.03375,1903077551981958e-20,10899616650659611e-23
.0345,19707476035937936e-21,113721597795831e-21
.035250000000000004,20407090887211927e-21,11864522194972883e-23
.036000000000000004,21130353430442084e-21,1237750539286468e-22
.036750000000000005,21878018974068572e-21,1291194199199898e-22
.037500000000000006,2265086538322935e-20,13468696888087153e-23
.03825,23449693699788556e-21,14048668448676342e-23
.039,24275328777653103e-21,1465278974995579e-22
.03975,25128619933698533e-21,15282029856885034e-23
.0405,26010441614630593e-21,15937395148069865e-23
.04125,2692169408011636e-20,16619930686851158e-23
.042,2786330410251971e-20,17330721640121327e-23
.04275,28836225683586338e-21,18070894746423745e-23
.043500000000000004,29841440788423087e-21,1884161983494171e-22
.04425,30879960097127574e-21,19644111397027258e-23
.045,319528237744231e-19,204796302119747e-21
.04575,3306110225766529e-20,21349485028790388e-23
.0465,342058970635867e-19,22255034305765096e-23
.04725,35388341614155814e-21,23197688009706574e-23
.048,366096020819268e-19,24178909476747394e-23
.04875,3787087825526896e-20,2520021733669895e-22
.0495,3917340442386122e-20,26263187502978733e-23
.05025,40518450284851066e-21,27369455230198626e-23
.051000000000000004,41907321870076447e-21,2852071724156573e-22
.051750000000000004,43341362494757956e-21,29718733928303586e-23
.052500000000000005,4482195372807164e-20,3096533162337376e-22
.05324999999999999,4635051638602086e-20,3226240495183515e-22
.05399999999999999,4792851154702805e-20,3361191926025446e-22
.05474999999999999,4955744159067512e-20,3501591312764488e-22
.055499999999999994,5123885126002433e-20,3647650096048158e-22
.056249999999999994,5297432874795794e-20,37995875674420226e-23
.056999999999999995,54765506807981854e-21,395763114654128e-21
.057749999999999996,56614063889939424e-21,4122016667299702e-22
.058499999999999996,585217253010913e-19,42929886738613075e-23
.05925,6049026439301931e-20,44708007261876503e-23
.06,6252150377482037e-20,46557157157830946e-23
.06075,6461731655305793e-20,4848006191827415e-22
.0615,667796275989471e-19,5047954698034861e-22
.06225,6901041484325214e-20,52558541205672e-20
.063,713117105993817e-19,5472008047337478e-22
.06375,7368560291517195e-20,569673113905042e-21
.0645,7613423695384957e-20,5930349512335398e-22
.06525,7865981640467614e-20,6173201135336695e-22
.066,8126460492377886e-20,6425636236137059e-22
.06675,8395092760567362e-20,6688017724400054e-22
.0675,8672117248599543e-20,6960721626626754e-22
.06825,8957779207595371e-20,7244137535434381e-22
.069,925233049290348e-19,7538669073274424e-22
.06975,955602972404794e-19,7844734371018892e-22
.07050000000000001,9869142448006403e-20,816276656185645e-21
.07125000000000001,.00010191941305872211,8493214290949122e-22
.07200000000000001,.00010524706202954436,8836542241315629e-22
.07275000000000001,.00010867724482370224,9193231676417396e-22
.07350000000000001,.00011221291102183972,9563780999935927e-22
.07425000000000001,.00011585708816148274,9948706333245336e-22
.07500000000000001,.00011961288358102479,10348542111093827e-22
.07575000000000001,.00012348348630084223,10763841696024279e-22
.0765,.00012747216894210174,11195178012075944e-22
.07725,.00013158228968382092,11643144198323769e-22
.078,.00013581729425875527,12108354282827564e-22
.07875,.00014018071798867286,12591443877575864e-22
.0795,.00014467618785959672,13093070895025414e-22
.08025,.00014930742463758237,13613916286853317e-22
.081,.0001540782450256147,1415468480555289e-21
.08175,.00015899256386219573,14716105789521902e-22
.0825,.00016405439636221086,15298933972306477e-22
.08325,.00016926786040065138,15903950316683112e-22
