,l,ANNzC_l,ANNzC_lErr,sdssC_l,sdssC_lErr
0,6,0.00263682443015,0.000948797678216,0.00289431423361,0.00108394491714
1,16,0.00106137260881,0.000196835359582,0.00136507921567,0.000262043095075
2,26,0.000394881412934,6.64703642665e-05,0.000484189333362,8.45199468311e-05
3,36,0.000309218314504,4.30001757533e-05,0.000402153371051,5.86629599354e-05
4,46,0.000222341773715,2.82618621565e-05,0.000296153966017,3.81851209398e-05
5,56,0.000161171205054,1.90997589392e-05,0.000210880298209,2.52337941106e-05
6,66,9.13710096491e-05,1.18163926667e-05,0.00011952892065,1.47471844232e-05
7,76,6.87058922826e-05,8.43617257955e-06,9.42722774499e-05,1.09564491034e-05
8,86,4.32104156181e-05,5.37170885007e-06,5.79275803284e-05,7.01297095329e-06
9,96,3.1462291412e-05,4.13266993333e-06,4.13377361428e-05,5.18268427022e-06
10,106,1.85492730939e-05,2.95514983499e-06,2.39112863571e-05,3.47313562881e-06
11,116,1.2024163161e-05,2.31056853116e-06,1.6299883332e-05,2.77304027682e-06
12,126,8.42674015749e-06,1.83968931275e-06,1.16231981821e-05,2.10397584239e-06
13,136,5.93186060021e-06,1.5304958357e-06,8.07962320684e-06,1.74119605216e-06
14,146,4.4666850488e-06,1.38244834117e-06,5.8227191001e-06,1.53145812229e-06
15,156,2.93018456397e-06,1.15870160028e-06,4.43855715688e-06,1.28349573086e-06
16,166,3.45354042873e-06,1.15563300499e-06,4.75764919044e-06,1.28634302841e-06
17,176,3.33054073361e-06,1.02661088827e-06,4.61826877301e-06,1.16631865129e-06
18,186,4.59052939465e-06,1.03063730266e-06,6.01727818701e-06,1.14919799132e-06
19,196,3.63962070862e-06,9.60715791255e-07,5.06722085849e-06,1.0543390672e-06
20,206,3.98767629375e-06,8.76630696782e-07,5.92817874356e-06,1.0011667236e-06
21,216,3.77832184066e-06,8.72780391176e-07,5.20464068064e-06,9.71644646849e-07
22,226,3.19066401479e-06,7.9123821925e-07,4.73005573403e-06,8.67062803111e-07
23,236,2.95314591454e-06,7.59921657413e-07,3.68667867962e-06,8.08760263991e-07
24,246,2.20046354996e-06,6.90828424132e-07,3.00066720859e-06,7.34312026598e-07
25,256,1.92543892439e-06,6.53846722413e-07,2.35392393781e-06,6.87485881191e-07
26,266,6.55320897032e-07,5.9918841521e-07,9.59652631356e-07,6.2015712975e-07
27,276,1.35189498678e-06,5.87720545493e-07,1.50896678312e-06,5.82694361189e-07
28,286,8.86481715695e-07,5.39131299157e-07,1.49390088491e-06,5.56985933529e-07
29,296,1.15981760656e-06,5.3352986969e-07,1.31275155266e-06,5.56575115829e-07
30,306,7.49776994309e-07,5.01341955301e-07,1.23732198317e-06,5.25692737491e-07
31,316,1.07522111468e-06,4.92986370191e-07,1.41661442314e-06,5.04488917135e-07
32,326,8.56270782058e-07,5.1043338814e-07,1.35596041939e-06,5.25521412121e-07
33,336,8.64561585125e-07,4.76815872272e-07,1.2465483213e-06,5.05609489664e-07
34,346,7.77322536296e-07,4.63215168038e-07,1.09197109269e-06,4.71231798612e-07
35,356,1.26034168534e-06,4.33885774413e-07,1.66738806504e-06,4.52087927857e-07
36,366,7.95687252051e-07,4.24571400472e-07,1.36102525181e-06,4.29093302092e-07
37,376,6.22065255121e-07,4.21124564316e-07,1.24192757352e-06,4.30206467037e-07
38,386,8.81479142823e-07,4.0773913621e-07,1.09890626516e-06,4.16041320728e-07
39,396,8.83123587808e-07,3.90089361206e-07,1.06038553204e-06,4.07469140039e-07
40,406,5.15710124972e-07,3.71597509698e-07,6.36020971914e-07,3.77422432692e-07
41,416,4.33864085396e-07,3.62144254477e-07,6.63958943836e-07,3.75736188275e-07
42,426,4.19326259635e-07,3.53603254323e-07,7.39710085433e-07,3.56505930549e-07
43,436,4.54433765125e-07,3.54981306965e-07,8.06296455769e-07,3.63331110943e-07
44,446,3.52742443488e-07,3.51347106505e-07,4.84240980333e-07,3.57675258976e-07
45,456,2.62903751678e-07,3.44281711652e-07,4.05821704475e-07,3.51817009729e-07
46,466,2.85459528669e-07,3.35789178033e-07,6.43898509205e-07,3.4664118982e-07
47,476,4.75091844974e-07,3.30056105079e-07,7.70567668714e-07,3.35326320566e-07
48,486,5.79488816409e-07,3.28765454539e-07,7.57804699123e-07,3.29928599727e-07
49,496,5.91713930848e-07,3.20830632947e-07,7.71639422118e-07,3.2432099304e-07
50,506,5.89792348257e-07,3.1128214396e-07,9.43854997662e-07,3.15003873205e-07
