,l,ANNzC_l,ANNzC_lErr,sdssC_l,sdssC_lErr
0,6,0.00408800131996,0.00160405348689,0.00405796235336,0.00159950492507
1,16,0.00163125626687,0.00032491258813,0.00169049007976,0.000335170840562
2,26,0.000616472134441,0.000105710909126,0.000629774682347,0.000107197491605
3,36,0.000470660310005,7.04289705926e-05,0.000480764592894,7.19523420533e-05
4,46,0.000356681471783,4.60140161491e-05,0.000359228857166,4.62742865658e-05
5,56,0.000251354566318,3.07965619837e-05,0.000256977934675,3.15274476452e-05
6,66,0.0001459572143,1.78846057859e-05,0.000151282933617,1.84408806883e-05
7,76,0.000107100412473,1.26740401162e-05,0.000108352605474,1.29845980877e-05
8,86,6.58292587176e-05,8.07776505687e-06,6.72361354784e-05,8.22634568457e-06
9,96,4.86494931452e-05,6.1743833511e-06,4.79976503782e-05,6.31531049585e-06
10,106,2.55235027038e-05,4.31458276874e-06,2.67320366997e-05,4.42659472846e-06
11,116,1.55532120535e-05,3.34851760866e-06,1.69511793024e-05,3.43147976196e-06
12,126,1.27460516017e-05,2.70716223365e-06,1.26781886292e-05,2.77687521092e-06
13,136,1.00276383363e-05,2.2753246151e-06,9.82266590249e-06,2.33434473125e-06
14,146,7.97708422955e-06,1.91354212637e-06,7.9137923192e-06,1.99185888252e-06
15,156,5.99894779672e-06,1.57690043982e-06,6.48109718217e-06,1.63869873525e-06
16,166,4.13288637496e-06,1.42260817322e-06,4.19995626955e-06,1.49623596555e-06
17,176,3.09059875369e-06,1.34945394662e-06,3.51302599776e-06,1.41088454552e-06
18,186,6.14574651448e-06,1.35726189904e-06,6.78776348469e-06,1.40836992726e-06
19,196,4.86376583632e-06,1.20918964984e-06,5.21128530095e-06,1.26884651065e-06
20,206,6.75192844646e-06,1.22986659096e-06,6.7152307075e-06,1.24237948909e-06
21,216,5.72785544266e-06,1.14376403001e-06,5.71245138911e-06,1.18286891803e-06
22,226,5.09662907996e-06,1.00510184423e-06,5.10492435178e-06,1.04261009718e-06
23,236,3.96430443757e-06,9.49191755631e-07,3.7947685817e-06,9.84798442093e-07
24,246,3.33315404717e-06,8.55405888698e-07,3.36762255645e-06,8.86394465509e-07
25,256,2.46491459538e-06,7.84954342683e-07,2.39909803875e-06,8.31972073888e-07
26,266,1.64335804321e-06,7.00976446594e-07,1.86744333323e-06,7.54616589774e-07
27,276,8.54588044165e-07,6.49806981108e-07,7.14081082177e-07,6.89886569283e-07
28,286,1.19663203972e-06,6.27918610983e-07,1.16324128059e-06,6.69471325184e-07
29,296,1.08344973237e-06,6.10642572292e-07,9.25420670654e-07,6.35115230731e-07
30,306,1.21886156172e-06,5.78386405958e-07,1.0076105052e-06,6.10665387732e-07
31,316,1.53321016124e-06,5.76147374183e-07,1.76735578459e-06,5.98219859987e-07
32,326,2.03283151053e-06,5.75055703836e-07,2.24338584072e-06,5.96770958876e-07
33,336,1.40076350338e-06,5.42673154506e-07,1.45188967287e-06,5.60764043579e-07
34,346,1.29739484979e-06,5.25718774917e-07,1.27230105702e-06,5.49081453223e-07
35,356,1.34784305523e-06,5.04662252293e-07,1.69814220694e-06,5.26902350135e-07
36,366,1.21028097154e-06,4.80453087381e-07,1.27195134466e-06,5.00541949893e-07
37,376,1.09844316755e-06,4.72689342743e-07,1.28174935116e-06,4.92539565568e-07
38,386,1.32455199609e-06,4.64448615829e-07,1.36331054006e-06,4.77027552963e-07
39,396,8.52415134369e-07,4.37657341651e-07,8.66746073723e-07,4.5699529285e-07
40,406,7.74512751626e-07,4.14629619959e-07,6.55864354783e-07,4.39077997281e-07
41,416,5.01527196559e-07,4.01931318848e-07,4.11855910246e-07,4.24173660052e-07
42,426,3.87866561831e-07,3.91040745987e-07,6.38361663933e-07,4.10172972484e-07
43,436,3.16826786218e-07,3.9120229922e-07,6.19970141109e-07,4.02918696257e-07
44,446,5.57861396758e-07,3.70526408853e-07,7.26893466698e-07,3.85872465875e-07
45,456,4.68264187912e-07,3.66305415686e-07,5.04776312655e-07,3.86403809964e-07
46,466,8.00622102839e-07,3.62730652694e-07,1.10010620872e-06,3.76746621882e-07
47,476,7.18106727725e-07,3.55108966557e-07,7.02451703749e-07,3.71273968893e-07
48,486,6.81686013839e-07,3.45470654231e-07,6.26765567567e-07,3.59177112598e-07
49,496,7.35328905802e-07,3.45204734482e-07,8.13998421239e-07,3.66459700963e-07
50,506,3.98121183173e-07,3.3052548578e-07,3.93638661581e-07,3.48664573472e-07
