,l,ANNzC_l,ANNzC_lErr,sdssC_l,sdssC_lErr
0,6,0.00151782073266,0.000525749855473,0.00205314162446,0.000693333220465
1,16,0.000621947881535,0.000106429695112,0.00117194392978,0.000197289955941
2,26,0.00028961069712,4.0042372232e-05,0.000497796847185,6.72995406355e-05
3,36,0.000205991593346,2.44969883543e-05,0.000407490542575,4.69459438405e-05
4,46,0.00014788524219,1.61209783691e-05,0.000290372204085,2.97745854402e-05
5,56,0.00010798731456,1.10532903905e-05,0.000201888967445,1.95183804932e-05
6,66,7.02341898692e-05,7.14416721434e-06,0.000123261613114,1.12813463712e-05
7,76,4.86297044455e-05,5.04122438149e-06,9.50741287015e-05,8.62687559498e-06
8,86,2.62966047452e-05,3.1475040409e-06,6.11660342137e-05,5.48345918614e-06
9,96,1.98210109886e-05,2.55494744739e-06,4.40360943611e-05,4.1409020584e-06
10,106,1.18663312995e-05,1.91478335956e-06,2.53314548694e-05,2.66465008977e-06
11,116,6.03123295798e-06,1.48085042158e-06,1.85761004225e-05,2.13881676533e-06
12,126,3.24761734314e-06,1.25266437814e-06,1.10112732618e-05,1.61296857764e-06
13,136,1.82053895493e-07,1.0325352889e-06,6.15879676632e-06,1.28309532662e-06
14,146,-2.38118388674e-07,9.79530913416e-07,4.74848581527e-06,1.15949935386e-06
15,156,-2.87720524081e-06,8.04277290063e-07,1.67671133677e-06,9.58497649103e-07
16,166,-2.34117275887e-06,8.05989887584e-07,2.543874019e-06,9.72700496673e-07
17,176,-3.68503239299e-06,7.16384755345e-07,1.58460183014e-06,8.96855244592e-07
18,186,-3.23704032748e-06,7.1841594366e-07,2.00321293746e-06,8.93173163481e-07
19,196,-3.44822880477e-06,6.91445921029e-07,1.00578776131e-06,8.23530157321e-07
20,206,-4.91956744918e-06,6.06522971067e-07,8.70417643088e-07,7.9653038995e-07
21,216,-4.1263001585e-06,6.26684187984e-07,6.50138277304e-07,7.68815358666e-07
22,226,-5.27290406872e-06,5.64318628185e-07,-9.60030054118e-07,6.81555239467e-07
23,236,-4.860188947e-06,5.69581304296e-07,-1.52619727741e-06,6.42889241245e-07
24,246,-5.91901519434e-06,5.13682560573e-07,-2.37432405498e-06,5.93773848264e-07
25,256,-5.83157459798e-06,5.06658855055e-07,-2.84793055812e-06,5.63707339022e-07
26,266,-6.6809299417e-06,4.63385619173e-07,-4.39970188144e-06,4.9092644092e-07
27,276,-6.30147852952e-06,4.69560760544e-07,-4.84238374931e-06,4.64260400705e-07
28,286,-7.48443878843e-06,4.16060516498e-07,-5.18081042388e-06,4.43321529518e-07
29,296,-7.43552179276e-06,4.10450061584e-07,-5.02158955026e-06,4.41489107235e-07
30,306,-7.75008838294e-06,3.92114389154e-07,-5.08572044994e-06,4.3163115035e-07
31,316,-7.49715555485e-06,3.95080449774e-07,-5.30072719341e-06,4.16998918104e-07
32,326,-7.12546901718e-06,4.02304990539e-07,-4.76847633122e-06,4.30114061994e-07
33,336,-7.63146079107e-06,3.79437120789e-07,-4.78811228137e-06,4.22849440748e-07
34,346,-7.87542241619e-06,3.64302458201e-07,-5.7929631396e-06,3.81579021312e-07
35,356,-8.21113291786e-06,3.48595932774e-07,-5.76221280429e-06,3.77123695701e-07
36,366,-8.18574841981e-06,3.43666754636e-07,-6.27823424837e-06,3.54310669515e-07
37,376,-7.97070792075e-06,3.46247776431e-07,-6.09309210219e-06,3.5570696151e-07
38,386,-8.20653657e-06,3.33782121379e-07,-5.951232388e-06,3.55708608665e-07
39,396,-8.74362778709e-06,3.12144773214e-07,-6.37428719356e-06,3.37428652646e-07
40,406,-8.83006050227e-06,3.05549667314e-07,-7.06860160348e-06,3.11131674938e-07
41,416,-9.1722708877e-06,2.90774369358e-07,-6.81956001287e-06,3.15109679051e-07
42,426,-9.24138475983e-06,2.85204678066e-07,-7.30456708084e-06,2.96167607988e-07
43,436,-8.90695296633e-06,2.92436030761e-07,-6.93063680801e-06,3.0426870609e-07
44,446,-8.77209735252e-06,2.93203866196e-07,-6.91859505325e-06,3.01396648876e-07
45,456,-8.82407235627e-06,2.88649496496e-07,-6.84535262931e-06,3.00187823716e-07
46,466,-9.039204118e-06,2.78689875516e-07,-6.89153625254e-06,2.9548590499e-07
47,476,-9.19539497527e-06,2.71172152347e-07,-7.12568315746e-06,2.85381779809e-07
48,486,-8.99769986368e-06,2.74189112753e-07,-7.0469121519e-06,2.84839626357e-07
49,496,-9.24285843831e-06,2.64473171289e-07,-7.32313526921e-06,2.73833120056e-07
50,506,-9.26736590841e-06,2.6102143006e-07,-7.3441074515e-06,2.70389326766e-07
