,l,ANNzC_l,ANNzC_lErr,sdssC_l,sdssC_lErr
0,6,0.00375284855827,0.00130978783131,0.00374370372963,0.00130894711454
1,16,0.00162467228147,0.000272363675448,0.00165010688561,0.000276209798368
2,26,0.000691386509411,9.12057783797e-05,0.000678173289018,8.95245264342e-05
3,36,0.00057925340149,6.38141696767e-05,0.000567743491482,6.26304836352e-05
4,46,0.000413156946156,4.09877374516e-05,0.00040008293555,3.97124808586e-05
5,56,0.000306921681112,2.77281089105e-05,0.000305028554339,2.74934843826e-05
6,66,0.000194836044179,1.62123714311e-05,0.000191992473708,1.59934724823e-05
7,76,0.000156680109946,1.23500697891e-05,0.000153036556593,1.21269940278e-05
8,86,9.52916937006e-05,7.23895465406e-06,9.27607278436e-05,7.05043294017e-06
9,96,7.49041077826e-05,5.53873746848e-06,7.37902076351e-05,5.45969609451e-06
10,106,5.27555748726e-05,3.77935817181e-06,5.19863045686e-05,3.73098739035e-06
11,116,4.13108193547e-05,2.91512604729e-06,3.9766571229e-05,2.82999378611e-06
12,126,3.09049385897e-05,2.20398965247e-06,3.0556032893e-05,2.18181092133e-06
13,136,2.64229230134e-05,1.86366540906e-06,2.5788415432e-05,1.82727154074e-06
14,146,2.23237618045e-05,1.5786652339e-06,2.2668180808e-05,1.60094104609e-06
15,156,1.73966505426e-05,1.26456538147e-06,1.73845048762e-05,1.2711617872e-06
16,166,1.65922334783e-05,1.18769782394e-06,1.69640226127e-05,1.21211176301e-06
17,176,1.57029494928e-05,1.10795071707e-06,1.57078491006e-05,1.11174112091e-06
18,186,1.65566501416e-05,1.11882000504e-06,1.6394412102e-05,1.11421256129e-06
19,196,1.39215944899e-05,9.66477637548e-07,1.40584451412e-05,9.76672998002e-07
20,206,1.55331312439e-05,1.01661316408e-06,1.42327748308e-05,9.60639478451e-07
21,216,1.57359666008e-05,1.00179808245e-06,1.53890235859e-05,9.88797500047e-07
22,226,1.23867850597e-05,8.33981051326e-07,1.21083290917e-05,8.24972002021e-07
23,236,1.25403045886e-05,8.22023921758e-07,1.20488998272e-05,8.03780083967e-07
24,246,1.07454721913e-05,7.31185914841e-07,1.03548440044e-05,7.17516181403e-07
25,256,9.24748342782e-06,6.56066478117e-07,9.50820640561e-06,6.69734250129e-07
26,266,7.96456577312e-06,5.94172093364e-07,8.43403370049e-06,6.15229500357e-07
27,276,6.49770126471e-06,5.24542207374e-07,6.88003163454e-06,5.4185682575e-07
28,286,6.39239615348e-06,5.11594926798e-07,6.71965812068e-06,5.26382424868e-07
29,296,6.77418756813e-06,5.16347805363e-07,6.7262991218e-06,5.16881639746e-07
30,306,5.87006905737e-06,4.73895681374e-07,5.91416333918e-06,4.78404982405e-07
31,316,5.93536122981e-06,4.69613986534e-07,5.7398047063e-06,4.64353912493e-07
32,326,6.74252593453e-06,4.91230484827e-07,6.38607133058e-06,4.80392885344e-07
33,336,6.07025790353e-06,4.60024030797e-07,5.5390788908e-06,4.43683372004e-07
34,346,5.81319339455e-06,4.44375663179e-07,5.74604329154e-06,4.4395561338e-07
35,356,5.43536093994e-06,4.25105409232e-07,5.39384417443e-06,4.25527254919e-07
36,366,5.39211982687e-06,4.17157183374e-07,5.20427157677e-06,4.13147451209e-07
37,376,5.11019236327e-06,4.0222039148e-07,5.0565745439e-06,4.02785138096e-07
38,386,5.00746009246e-06,3.93489749184e-07,4.61491116403e-06,3.82980627323e-07
39,396,4.41504716365e-06,3.6936789352e-07,4.28184719614e-06,3.67078075281e-07
40,406,3.71164643159e-06,3.42895396169e-07,3.94628641101e-06,3.52441607723e-07
41,416,3.92038681557e-06,3.44993010529e-07,4.02235607942e-06,3.50107453397e-07
42,426,3.75792455114e-06,3.35544004034e-07,3.83608766879e-06,3.39871270719e-07
43,436,3.94696406619e-06,3.37538422038e-07,3.73203520353e-06,3.32793648899e-07
44,446,3.47747149455e-06,3.19200577174e-07,3.38711019621e-06,3.18293270994e-07
45,456,3.38868505023e-06,3.13039297411e-07,3.42353388945e-06,3.15941141295e-07
46,466,3.51442532426e-06,3.13224066032e-07,3.37547721433e-06,3.11039778357e-07
47,476,3.46438008583e-06,3.08384164379e-07,3.40434707441e-06,3.08691940261e-07
48,486,3.19115828425e-06,2.97284942149e-07,3.1930652446e-06,2.99329877505e-07
49,496,3.21910400709e-06,2.9504625617e-07,3.43323527574e-06,3.03253011482e-07
50,506,3.22348568143e-06,2.92211248828e-07,3.16221350259e-06,2.92571234741e-07
