,l,ANNzC_l,ANNzC_lErr,sdssC_l,sdssC_lErr
0,6,0.00465365998471,0.00166954168894,0.00438606128992,0.0015919425073
1,16,0.00208080444597,0.000357531365912,0.00187345749081,0.000323674401272
2,26,0.000760719402295,0.000108089389776,0.000696084394046,9.91680514925e-05
3,36,0.000620326103023,7.38291497557e-05,0.000569595388693,6.76311522835e-05
4,46,0.000469791358569,4.92907386115e-05,0.000434126002925,4.57527737378e-05
5,56,0.000335508808155,3.23555199809e-05,0.000303985796855,2.96534235674e-05
6,66,0.000212474737703,1.93412438447e-05,0.000196956866383,1.8045143271e-05
7,76,0.000160309845645,1.40213661109e-05,0.000147605462922,1.30003177336e-05
8,86,0.000105200615685,8.91542364737e-06,9.58772760598e-05,8.29297969527e-06
9,96,7.69912390463e-05,6.4522177706e-06,7.13276938662e-05,6.02069258246e-06
10,106,5.12803334881e-05,4.45428409633e-06,4.86764958333e-05,4.28137828348e-06
11,116,3.98291887892e-05,3.46377134131e-06,3.81677255989e-05,3.32015896059e-06
12,126,2.81058446055e-05,2.56581927622e-06,2.64089994696e-05,2.50972083085e-06
13,136,2.39256428392e-05,2.17732978798e-06,2.36650066195e-05,2.1863130731e-06
14,146,2.05438237786e-05,1.8931723686e-06,2.00346667923e-05,1.87366759658e-06
15,156,1.62345670874e-05,1.56538730915e-06,1.55587407638e-05,1.5297618029e-06
16,166,1.73086703681e-05,1.52050751603e-06,1.65619224045e-05,1.48625029375e-06
17,176,1.57994476157e-05,1.36254282751e-06,1.52393903081e-05,1.33968923791e-06
18,186,1.63906712023e-05,1.35713928418e-06,1.52705773604e-05,1.31725873648e-06
19,196,1.46335211131e-05,1.20850870657e-06,1.42211174705e-05,1.19967382702e-06
20,206,1.51498035737e-05,1.17656519308e-06,1.44183154718e-05,1.13318501923e-06
21,216,1.38109381323e-05,1.09763753607e-06,1.32764627541e-05,1.08444208319e-06
22,226,1.16254392327e-05,1.01676672962e-06,1.17003196253e-05,9.93551540598e-07
23,236,1.10202025635e-05,9.2508635441e-07,1.08705840477e-05,9.14170046602e-07
24,246,9.54353075658e-06,8.48060033403e-07,8.97724461833e-06,8.34413721732e-07
25,256,8.40992213112e-06,7.57453174133e-07,8.07819134301e-06,7.45006990436e-07
26,266,6.88853748131e-06,6.93749625249e-07,6.66004770239e-06,6.94319369193e-07
27,276,6.58020824276e-06,6.53174406654e-07,6.56094544572e-06,6.51799348048e-07
28,286,6.41304775305e-06,6.17142061135e-07,6.39271863854e-06,6.12256516067e-07
29,296,6.72778595761e-06,6.16310591566e-07,6.79405387691e-06,6.19927978375e-07
30,306,5.87263064131e-06,5.66334794023e-07,5.88037280985e-06,5.72753608382e-07
31,316,5.60803151592e-06,5.40465194613e-07,5.52989239429e-06,5.40240540057e-07
32,326,6.00167124441e-06,5.66521486455e-07,6.18523406614e-06,5.68516160193e-07
33,336,5.6056555136e-06,5.34035839101e-07,5.47914532063e-06,5.32525108573e-07
34,346,5.79262490264e-06,5.25614875842e-07,5.71663276528e-06,5.23466411092e-07
35,356,5.32130385763e-06,4.95226936338e-07,5.19733413685e-06,4.94966484879e-07
36,366,4.72581514938e-06,4.72976792672e-07,4.41510732736e-06,4.67618989129e-07
37,376,4.48879584517e-06,4.56291766907e-07,4.44171471808e-06,4.57388141905e-07
38,386,4.22460973265e-06,4.33786497352e-07,4.30464495245e-06,4.29337255855e-07
39,396,4.17115314714e-06,4.20217936079e-07,4.31204038448e-06,4.19057460315e-07
40,406,3.66772496571e-06,3.98968548792e-07,3.67674054792e-06,4.00438772348e-07
41,416,3.71976639609e-06,3.97799980654e-07,3.61021061656e-06,4.00209700869e-07
42,426,3.39980321392e-06,3.77182415222e-07,3.39631031135e-06,3.74861497804e-07
43,436,3.66226771471e-06,3.81953268287e-07,3.62565315438e-06,3.84263094429e-07
44,446,3.19863133189e-06,3.62341785853e-07,3.10073255712e-06,3.64348572093e-07
45,456,3.23950882339e-06,3.57121963718e-07,3.18403526061e-06,3.58175050628e-07
46,466,3.18364223729e-06,3.50728907403e-07,3.17321626126e-06,3.51882021422e-07
47,476,3.23899928792e-06,3.48721150251e-07,3.18815287738e-06,3.44380935716e-07
48,486,3.23600363687e-06,3.41579834898e-07,3.2605487243e-06,3.36641864694e-07
49,496,2.82848211282e-06,3.26886233415e-07,2.53420427376e-06,3.301386251e-07
50,506,2.75957525721e-06,3.23712702464e-07,2.74640600984e-06,3.23559690168e-07
