,l,ANNzC_l,ANNzC_lErr,sdssC_l,sdssC_lErr
0,6,0.00448264386777,0.00179696071488,0.00429274334693,0.00173482373574
1,16,0.00183288654165,0.000369204089698,0.00174257959392,0.000351682735051
2,26,0.000664238285618,0.000113844806482,0.00062843683178,0.000109263059111
3,36,0.000512805177812,7.55947823176e-05,0.000487578650196,7.23827631117e-05
4,46,0.000400721312843,5.02411503773e-05,0.000376829837326,4.80600195736e-05
5,56,0.000278300394302,3.29202296934e-05,0.000259062938916,3.13752345753e-05
6,66,0.000163908250286,1.94919780919e-05,0.000153776366668,1.90283958404e-05
7,76,0.000117473567116,1.35119724093e-05,0.000108736560802,1.31245350775e-05
8,86,7.4657524026e-05,8.86931253515e-06,7.1058364866e-05,8.6263534389e-06
9,96,5.33186972529e-05,6.548553611e-06,4.98242879393e-05,6.40423544327e-06
10,106,2.95624523503e-05,4.63527113264e-06,2.7855187369e-05,4.62209849935e-06
11,116,1.8436525884e-05,3.57945941679e-06,1.78337378348e-05,3.56583821074e-06
12,126,1.34305822206e-05,2.85020862994e-06,1.22740268793e-05,2.85464832107e-06
13,136,1.14980929433e-05,2.41009021283e-06,1.19199073001e-05,2.46568850101e-06
14,146,9.95444759672e-06,2.07045844172e-06,9.96331274012e-06,2.07907233452e-06
15,156,6.16133764734e-06,1.70031484595e-06,5.83503080588e-06,1.6940137122e-06
16,166,5.66852806689e-06,1.54223810093e-06,5.25754430191e-06,1.55014751508e-06
17,176,5.29176024016e-06,1.4397901463e-06,4.83585217985e-06,1.45447816476e-06
18,186,7.98797380669e-06,1.43337728591e-06,7.69182822892e-06,1.44607806287e-06
19,196,5.83509187473e-06,1.28748208042e-06,5.66833543772e-06,1.32555515592e-06
20,206,8.08678512054e-06,1.27583154862e-06,7.4098875676e-06,1.28173360654e-06
21,216,5.70419071212e-06,1.13743897729e-06,5.51867470945e-06,1.16415089453e-06
22,226,5.03422984533e-06,1.06235472593e-06,4.7563925293e-06,1.08627918524e-06
23,236,4.46827436458e-06,9.62967633496e-07,4.00904355677e-06,9.96415749254e-07
24,246,4.22495751038e-06,8.80523618544e-07,3.62929783152e-06,9.15872620388e-07
25,256,2.6184497736e-06,7.99631881937e-07,2.78720261005e-06,8.26944823928e-07
26,266,1.51960048337e-06,7.16147607343e-07,1.16975371919e-06,7.54146769781e-07
27,276,1.06239794777e-06,6.83688057748e-07,8.33060054134e-07,7.14064523703e-07
28,286,1.31489563647e-06,6.48214621137e-07,1.14731768474e-06,6.7492921177e-07
29,296,2.03498324199e-06,6.28833848403e-07,1.99186152312e-06,6.53861300569e-07
30,306,1.44394307863e-06,5.9439013776e-07,1.4928383403e-06,6.31209484972e-07
31,316,1.28080677828e-06,5.797802349e-07,1.40167943533e-06,6.06923453696e-07
32,326,2.25886481958e-06,5.77299242467e-07,2.3352883494e-06,6.11311217298e-07
33,336,1.62198393929e-06,5.53066301189e-07,1.80131634508e-06,5.77498557591e-07
34,346,1.80102207698e-06,5.39988220938e-07,2.11133597365e-06,5.65461451457e-07
35,356,1.85811376482e-06,5.22075540346e-07,1.68715589419e-06,5.43215770763e-07
36,366,1.2371170356e-06,4.85919881707e-07,1.26736634015e-06,5.04614392827e-07
37,376,1.27763156438e-06,4.7660657517e-07,1.25920792668e-06,4.92339937069e-07
38,386,1.28763712679e-06,4.55271341804e-07,1.42919737806e-06,4.74325135886e-07
39,396,8.08833668165e-07,4.3301766557e-07,1.00602492309e-06,4.50701797109e-07
40,406,1.07079105139e-06,4.19753579869e-07,1.25516813448e-06,4.37499778568e-07
41,416,6.12695979845e-07,4.05114463396e-07,8.56261090583e-07,4.28587731279e-07
42,426,9.05921160553e-07,3.84767973595e-07,6.53232536548e-07,4.02892412736e-07
43,436,8.31510116292e-07,3.91996256993e-07,7.09871005909e-07,4.07579568549e-07
44,446,5.771793366e-07,3.6624286867e-07,4.77981859664e-07,3.82614623004e-07
45,456,5.93704593227e-07,3.64561510217e-07,4.08576228237e-07,3.83237813537e-07
46,466,8.9150748561e-07,3.57439327097e-07,9.00322831307e-07,3.72595969359e-07
47,476,7.6151627378e-07,3.51784309125e-07,8.78778918977e-07,3.66171285114e-07
48,486,9.11522853225e-07,3.45093493526e-07,9.22417106328e-07,3.57650613677e-07
49,496,9.13561434783e-07,3.33361116473e-07,7.45607978126e-07,3.54545185486e-07
50,506,8.44426511267e-07,3.25073311261e-07,7.34952578561e-07,3.43966122867e-07
