,l,ANNzC_l,ANNzC_lErr,sdssC_l,sdssC_lErr
0,6,0.00375247853062,0.0014696241954,0.00388710892644,0.00153339536789
1,16,0.00155454745074,0.000332375723811,0.00162513193073,0.000350041329659
2,26,0.000549799802367,0.000108073279097,0.000563874261149,0.000111567714041
3,36,0.000450665770809,7.4809553849e-05,0.000464223654843,7.8813735293e-05
4,46,0.000325252444632,4.65518833783e-05,0.000329824516921,4.79815221072e-05
5,56,0.000226187814221,3.11294862158e-05,0.000239922306271,3.30888134485e-05
6,66,0.000132823908357,1.78650968268e-05,0.000141097723537,1.94522283618e-05
7,76,9.7909395407e-05,1.33640878691e-05,9.9550853307e-05,1.4173412423e-05
8,86,6.30661262517e-05,8.52110083395e-06,6.57523755438e-05,9.07179107995e-06
9,96,4.72047760684e-05,6.434710513e-06,4.87957779498e-05,6.68511136068e-06
10,106,2.3509147662e-05,4.55084364289e-06,2.62015276314e-05,4.77358585166e-06
11,116,1.50472226332e-05,3.52177481021e-06,1.54968131357e-05,3.62026018666e-06
12,126,9.76877645711e-06,2.87971995584e-06,1.04384279477e-05,2.95093737408e-06
13,136,7.73995256991e-06,2.41179377446e-06,8.10930074418e-06,2.45998763381e-06
14,146,6.75877640073e-06,1.99501042121e-06,6.2128567831e-06,2.07853069649e-06
15,156,4.16904338301e-06,1.73087913206e-06,4.38662161724e-06,1.76865460536e-06
16,166,4.02376817917e-06,1.56528719553e-06,4.24535287294e-06,1.64105594015e-06
17,176,3.25559195022e-06,1.50786032327e-06,3.49213541e-06,1.53001722669e-06
18,186,5.9277609959e-06,1.48236864589e-06,6.12124481074e-06,1.53184078043e-06
19,196,4.71869783541e-06,1.36329007303e-06,4.88107302568e-06,1.41509210452e-06
20,206,7.09606405209e-06,1.34712163046e-06,7.08598682422e-06,1.35097475645e-06
21,216,5.93110726853e-06,1.26936774508e-06,5.69742188344e-06,1.30662058693e-06
22,226,4.68202749133e-06,1.11202531195e-06,4.61723313317e-06,1.13808190563e-06
23,236,4.08712693815e-06,1.07561019531e-06,3.94648274827e-06,1.07927348464e-06
24,246,3.26696687611e-06,9.70072962933e-07,3.86761736859e-06,9.80659014899e-07
25,256,1.91399556988e-06,8.82151517187e-07,1.94195049218e-06,9.09186056662e-07
26,266,1.48655284369e-06,8.03789432535e-07,1.69584790623e-06,8.26845847761e-07
27,276,7.7237254692e-07,7.40788979209e-07,8.68931005107e-07,7.66937802655e-07
28,286,7.38316867764e-07,7.20697875803e-07,1.15344116613e-06,7.4670904485e-07
29,296,8.14809459679e-07,7.0986796075e-07,8.60010134702e-07,7.21524631801e-07
30,306,7.9134370861e-07,6.6142713935e-07,7.60108498385e-07,6.78951113641e-07
31,316,1.34381444476e-06,6.54472351533e-07,1.52753763673e-06,6.61832400589e-07
32,326,1.91677612316e-06,6.64500387498e-07,2.06552034099e-06,6.69725664656e-07
33,336,1.29295492427e-06,6.32713141566e-07,1.31791111718e-06,6.24905238914e-07
34,346,1.36780384854e-06,6.13163104732e-07,1.23828033549e-06,6.18285914331e-07
35,356,1.50896286402e-06,5.81263708067e-07,1.38077521366e-06,5.9525636129e-07
36,366,1.19122522435e-06,5.67881162859e-07,1.44409254781e-06,5.76940287012e-07
37,376,7.79390358164e-07,5.50471885361e-07,8.21680968109e-07,5.56218657792e-07
38,386,1.01841008823e-06,5.25733586055e-07,9.28315074672e-07,5.23718938497e-07
39,396,6.66572682411e-07,5.02970787421e-07,4.11543329142e-07,5.05529830717e-07
40,406,8.53679263583e-07,4.74433781883e-07,6.16071266773e-07,4.87578552637e-07
41,416,4.10614217795e-07,4.73334186371e-07,3.75207343248e-07,4.79105423826e-07
42,426,3.34205098174e-07,4.55091407713e-07,3.97193404588e-07,4.5833302093e-07
43,436,4.17160460448e-07,4.52262767533e-07,3.19568553847e-07,4.52913608917e-07
44,446,4.93164273662e-07,4.35289728657e-07,6.17548209484e-07,4.36816770872e-07
45,456,3.69536200531e-07,4.28561332938e-07,2.56782675087e-07,4.35278311001e-07
46,466,5.33725975555e-07,4.20082489271e-07,6.25564870754e-07,4.19863115816e-07
47,476,7.47869086004e-07,4.11966001118e-07,5.92451212571e-07,4.14474760307e-07
48,486,6.17216185962e-07,4.02591973079e-07,4.58427079839e-07,4.03841437429e-07
49,496,5.69857684993e-07,3.9904678715e-07,6.56121064136e-07,4.08868718055e-07
50,506,5.52563384822e-07,3.92338842361e-07,5.82392854823e-07,3.92932298648e-07
