,l,ANNzC_l,ANNzC_lErr,sdssC_l,sdssC_lErr
0,6,0.00263738538773,0.00101673605801,0.00286659526364,0.00116653399194
1,16,0.000990684441278,0.000202641115617,0.00135056401521,0.000283244394052
2,26,0.000400757028949,6.98774067009e-05,0.000514903141645,9.30703634469e-05
3,36,0.000275475477779,4.36810414278e-05,0.000386384494585,6.22857497859e-05
4,46,0.000212415554031,2.88093306008e-05,0.000293406221734,3.99323734162e-05
5,56,0.000149200055402,1.9385759009e-05,0.000203135439467,2.66228409725e-05
6,66,9.19845395098e-05,1.18922630019e-05,0.000121790872011,1.5476046409e-05
7,76,6.36684385003e-05,8.10828973123e-06,8.71978078944e-05,1.09749046668e-05
8,86,3.81113455873e-05,5.33126926512e-06,5.60232599689e-05,7.26513561527e-06
9,96,2.92128040042e-05,4.17719728786e-06,3.97024497109e-05,5.4973176064e-06
10,106,1.82407024479e-05,3.07570577954e-06,2.22365308582e-05,3.74879080888e-06
11,116,9.39492333252e-06,2.38273460917e-06,1.29171235504e-05,2.98111545231e-06
12,126,7.56496301032e-06,2.034251631e-06,1.01238435164e-05,2.38505296028e-06
13,136,6.93059259099e-06,1.6937352843e-06,8.20661363435e-06,1.96138111395e-06
14,146,5.54048734026e-06,1.51093626399e-06,7.26167307018e-06,1.69675299127e-06
15,156,2.09787969389e-06,1.25897965902e-06,3.56839857204e-06,1.4220002323e-06
16,166,2.16111286381e-06,1.17330571569e-06,3.85962515279e-06,1.34136179431e-06
17,176,1.47903064634e-06,1.0869960663e-06,2.91194560669e-06,1.26866234702e-06
18,186,3.83261018628e-06,1.08970659338e-06,5.09460012449e-06,1.26219971872e-06
19,196,3.46135024179e-06,1.02330444634e-06,5.3743885959e-06,1.16493309581e-06
20,206,3.34602930394e-06,9.49866747747e-07,5.13568244852e-06,1.13096157894e-06
21,216,3.34689194862e-06,9.03914277213e-07,5.24916495543e-06,1.04351332332e-06
22,226,3.17810675499e-06,8.26304101212e-07,4.32534567465e-06,9.47114946964e-07
23,236,1.59068242638e-06,7.91439142801e-07,2.96487457432e-06,8.81765101671e-07
24,246,2.08669665355e-06,7.18141286885e-07,2.87068068785e-06,8.06248161771e-07
25,256,1.74576813632e-06,6.90225842303e-07,2.46859845651e-06,7.63736157227e-07
26,266,8.27853751465e-07,6.18602184439e-07,1.51928852311e-06,6.73541685711e-07
27,276,5.25752308309e-07,6.15039705416e-07,1.13186598173e-06,6.38728196233e-07
28,286,6.88163392944e-07,5.65805405855e-07,8.34310393874e-07,6.14279369137e-07
29,296,5.33886284924e-07,5.44686011702e-07,9.91585792525e-07,5.8709542346e-07
30,306,1.72655959709e-07,5.26199804087e-07,6.3397035296e-07,5.7978088498e-07
31,316,1.17314052506e-06,5.28965027289e-07,1.19263350929e-06,5.67231323364e-07
32,326,6.85536529604e-07,5.20106133132e-07,1.06995846056e-06,5.646466282e-07
33,336,8.28669761106e-07,4.93729110659e-07,1.19504200626e-06,5.48034348101e-07
34,346,5.19629821745e-07,4.75685938959e-07,1.32123475605e-06,5.09328805044e-07
35,356,6.44788401695e-07,4.57554388762e-07,1.16604013663e-06,4.96212874949e-07
36,366,6.38457731187e-07,4.36416860528e-07,1.00162703115e-06,4.6345462877e-07
37,376,6.8030302132e-07,4.38521200939e-07,9.5313339046e-07,4.62450169863e-07
38,386,7.01731822647e-07,4.27892927388e-07,1.06039712194e-06,4.59682763587e-07
39,396,8.88554965928e-08,4.02088438212e-07,4.29409939031e-07,4.38253855374e-07
40,406,3.29841930818e-07,3.90897773673e-07,4.48790292709e-07,4.12208095088e-07
41,416,2.57695879465e-07,3.68709105341e-07,5.93496404246e-07,4.02203049352e-07
42,426,3.98691921789e-07,3.60401116634e-07,5.69017172788e-07,3.83055825469e-07
43,436,3.84980662576e-07,3.63769509492e-07,4.82336350183e-07,3.85253965634e-07
44,446,2.67075962934e-07,3.55014344043e-07,1.60653001074e-07,3.75526267371e-07
45,456,1.86160513973e-07,3.51612726598e-07,1.32436219943e-07,3.76577685307e-07
46,466,4.0698350507e-07,3.4207751145e-07,5.66216102675e-07,3.67157411428e-07
47,476,3.47669737945e-07,3.33138420891e-07,6.05824502177e-07,3.56788287652e-07
48,486,4.4063283332e-07,3.31819228187e-07,6.58317707531e-07,3.50539903495e-07
49,496,3.61877307239e-07,3.26920375141e-07,5.14350718857e-07,3.48182932614e-07
50,506,2.69230833338e-07,3.12586947432e-07,3.54935871531e-07,3.35054185627e-07
