,l,ANNzC_l,ANNzC_lErr,sdssC_l,sdssC_lErr
0,6,0.00412077541598,0.00157264882311,0.00423161228333,0.00160583533727
1,16,0.00172573551799,0.000318952293365,0.00173235400255,0.000320296306531
2,26,0.000622341230657,0.000101529785523,0.00060789888649,0.000100604171199
3,36,0.000495038054108,6.79377997247e-05,0.000486072129156,6.73147507271e-05
4,46,0.000374678074405,4.53879455127e-05,0.000367082170332,4.43435694896e-05
5,56,0.000264383817403,3.03488215273e-05,0.000266358887837,3.03099580382e-05
6,66,0.000152137389766,1.75708856131e-05,0.000152146398774,1.76340044751e-05
7,76,0.000115907751639,1.2873816211e-05,0.000113047986961,1.28478924964e-05
8,86,7.17804812776e-05,8.05895927735e-06,7.19640760299e-05,8.05506218586e-06
9,96,5.29380728784e-05,6.18241771166e-06,5.14493669944e-05,6.21104334105e-06
10,106,2.85932310673e-05,4.26113009539e-06,2.87112267582e-05,4.29382271989e-06
11,116,1.76027394064e-05,3.23664650842e-06,1.81130151774e-05,3.20651158526e-06
12,126,1.40940730441e-05,2.52149569909e-06,1.36703011608e-05,2.53767451299e-06
13,136,1.04342203088e-05,2.06261482332e-06,9.74191453393e-06,2.0582136586e-06
14,146,8.69249007289e-06,1.76225274279e-06,7.99803165105e-06,1.80004242671e-06
15,156,7.08532398668e-06,1.49075021421e-06,7.12057454455e-06,1.52146499308e-06
16,166,5.40878080005e-06,1.41437031652e-06,5.40739258691e-06,1.4389151631e-06
17,176,5.08601746405e-06,1.2566916778e-06,5.32673116371e-06,1.2582083235e-06
18,186,6.84988333079e-06,1.26250407756e-06,6.8946034516e-06,1.26711185863e-06
19,196,6.07939707128e-06,1.1488929846e-06,5.73658020819e-06,1.16504590701e-06
20,206,6.91157146485e-06,1.12641020966e-06,6.76317008394e-06,1.09920396621e-06
21,216,6.41173527798e-06,1.096505801e-06,6.10393098814e-06,1.10227167272e-06
22,226,5.70311165252e-06,9.38120227384e-07,5.21915583022e-06,9.50375435396e-07
23,236,4.37407371696e-06,8.86845196646e-07,4.32900199033e-06,8.7790886793e-07
24,246,3.37873546737e-06,8.04468929112e-07,3.40000029002e-06,8.02048845778e-07
25,256,2.86939817553e-06,7.33506313248e-07,2.74085900477e-06,7.451511701e-07
26,266,1.87438876035e-06,6.74396287663e-07,1.86032377888e-06,6.82178954213e-07
27,276,1.14455545562e-06,6.14791016778e-07,1.05905764104e-06,6.30356907367e-07
28,286,1.8492327149e-06,5.92671260044e-07,1.84327548263e-06,6.07430904669e-07
29,296,1.54295408382e-06,5.74854591541e-07,1.596864534e-06,5.78565474225e-07
30,306,1.16957325354e-06,5.48483152663e-07,1.10351608958e-06,5.53832896381e-07
31,316,1.71589707642e-06,5.33534214633e-07,1.84223898788e-06,5.31658438865e-07
32,326,2.46024430844e-06,5.41541272469e-07,2.26890432747e-06,5.39919099014e-07
33,336,1.70520316355e-06,5.10637878437e-07,1.53236227096e-06,5.01880002497e-07
34,346,1.56562613926e-06,4.91883629384e-07,1.57692435091e-06,4.95313998064e-07
35,356,1.83388461061e-06,4.75023664839e-07,1.89094792383e-06,4.78733634411e-07
36,366,1.33740821389e-06,4.64064182217e-07,1.33275346954e-06,4.6141750668e-07
37,376,1.77568581409e-06,4.51413115331e-07,1.76245255206e-06,4.53564692755e-07
38,386,1.54949638329e-06,4.39208270466e-07,1.54096456068e-06,4.35409231733e-07
39,396,1.02332374402e-06,4.12821293371e-07,9.95056891856e-07,4.09873469169e-07
40,406,1.00099377403e-06,3.9288848925e-07,8.97677025015e-07,3.98949655455e-07
41,416,6.86353388246e-07,3.82014733341e-07,7.37410731314e-07,3.86685752122e-07
42,426,2.71799151183e-07,3.74936502778e-07,3.55532543651e-07,3.80849278889e-07
43,436,5.89648689442e-07,3.71153673739e-07,4.24331659585e-07,3.72301820243e-07
44,446,6.2725754011e-07,3.56301301452e-07,8.5005868081e-07,3.57550666114e-07
45,456,6.16895676475e-07,3.51627132117e-07,6.72229313359e-07,3.56445903824e-07
46,466,8.81554009672e-07,3.45836164698e-07,9.94936398549e-07,3.4805131802e-07
47,476,7.70383740435e-07,3.3970973733e-07,6.75030906905e-07,3.42677833548e-07
48,486,9.63792586524e-07,3.30940325683e-07,1.03518264135e-06,3.34801905098e-07
49,496,7.93138975584e-07,3.25943628601e-07,9.49388515428e-07,3.33014678217e-07
50,506,9.21897759671e-07,3.25717929435e-07,8.31480037846e-07,3.25850627837e-07
